         2037790 function calls (2019726 primitive calls) in 2.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(ArrayFormula)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Blank)
        1    0.000    0.000    0.000    0.000 <string>:1(Boolean)
        1    0.000    0.000    0.000    0.000 <string>:1(Boxplot)
        1    0.000    0.000    0.000    0.000 <string>:1(CacheInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ColumnMetadata)
        1    0.000    0.000    0.000    0.000 <string>:1(Components)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:1(DeprecatedOption)
        1    0.000    0.000    0.000    0.000 <string>:1(DoneAndNotDoneFutures)
        1    0.000    0.000    0.000    0.000 <string>:1(ExtType)
        1    0.000    0.000    0.000    0.000 <string>:1(Field)
        1    0.000    0.000    0.000    0.000 <string>:1(FieldInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(FieldResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Formula)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Number)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:1(PathInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(RegisteredOption)
        1    0.000    0.000    0.000    0.000 <string>:1(RelationInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:1(String)
        1    0.000    0.000    0.000    0.000 <string>:1(TableInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(Url)
        1    0.000    0.000    0.000    0.000 <string>:1(Week)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
        1    0.000    0.000    0.000    0.000 <string>:1(_range)
        1    0.000    0.000    0.000    0.000 <string>:1(basic_return_t)
        1    0.000    0.000    0.000    0.000 <string>:1(codec)
        1    0.000    0.000    0.000    0.000 <string>:1(manifest_mod)
        1    0.000    0.000    0.000    0.000 <string>:1(queue_declare_ok_t)
        1    0.000    0.000    0.000    0.000 <string>:1(searchresult)
        1    0.000    0.000    0.000    0.000 <string>:1(version_info_t)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       44    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:102(HTTPServer)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:114(BaseHTTPRequestHandler)
        1    0.000    0.000    0.000    0.000 BaseHTTPServer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 CLIENT.py:8(<module>)
        1    0.000    0.000    0.003    0.003 Cookie.py:203(<module>)
        1    0.000    0.000    0.000    0.000 Cookie.py:229(CookieError)
      257    0.000    0.000    0.000    0.000 Cookie.py:310(<genexpr>)
        1    0.000    0.000    0.000    0.000 Cookie.py:312(_quote)
        1    0.000    0.000    0.000    0.000 Cookie.py:330(_unquote)
        1    0.000    0.000    0.000    0.000 Cookie.py:405(Morsel)
        1    0.000    0.000    0.000    0.000 Cookie.py:431(__init__)
        1    0.000    0.000    0.000    0.000 Cookie.py:451(set)
        1    0.000    0.000    0.000    0.000 Cookie.py:558(BaseCookie)
        2    0.000    0.000    0.000    0.000 Cookie.py:582(__init__)
        1    0.000    0.000    0.000    0.000 Cookie.py:586(__set)
        1    0.000    0.000    0.000    0.000 Cookie.py:633(load)
        1    0.000    0.000    0.000    0.000 Cookie.py:648(__ParseString)
        1    0.000    0.000    0.000    0.000 Cookie.py:682(SimpleCookie)
        1    0.000    0.000    0.000    0.000 Cookie.py:689(value_decode)
        1    0.000    0.000    0.000    0.000 Cookie.py:691(value_encode)
        1    0.000    0.000    0.000    0.000 Cookie.py:696(SerialCookie)
